,addr:postcode,koatuu,lat,lon,name,name:en,name:prefix,name:ru,name:uk,place,population,postal_code
340367,13626,1825284301,49.79107,29.11343,Малі Низгірці,Mali Nyzghirtsi,село,Малые Низгорцы,Малі Низгірці,village,440,
340368,30643,6824785302,49.79107,26.60099,Колки,Kolky,село,Колки,Колки,village,404,
340369,92134,4425483003,49.79072,38.0817,Глотівка,Hlotivka,село,Глотовка,Глотівка,hamlet,11,
340370,63530,6325484503,49.79072,36.87904,Пушкарне,Pushkarne,село,Пушкарное,Пушкарне,village,63,
340371,30634,6824781503,49.79072,26.40495,Підліски,Pidlisky,село,Подлески,Підліски,village,110,
340372,81323,4622487201,49.79072,23.07953,Тщенець,Tschenets,село,Тщенец,Тщенець,village,573,
340373,38813,5325455303,49.7887458,35.0442802,Коханівка,Kokhanivka,село,Кохановка,Коханівка,village,443,
340374,47442,6123882001,49.79038,26.07708,Ванжулів,Vanzhuliv,село,Ванжулов,Ванжулів,village,,
340375,63720,6323783003,49.7912752,37.6341678,Калинове,Kalynove,село,Калиново,Калинове,village,,
340376,63411,6321781002,49.7900468,36.349979,Водяне,Vodiane,село,Водяное,Водяне,village,304,
340377,38530,5321085802,49.7880556,34.2586111,Дячкове,Diachkove,село,Дьячково,Дячкове,village,216,
340378,37840,5324882603,49.78969,33.47946,Барилове,Barylove,село,Барилово,Барилове,village,74,
340379,30642,6824785303,49.78969,26.56185,Майдан-Петрівський,Maidan-Petrivskyi,село,Майдан-Петровский,Майдан-Петрівський,hamlet,10,
340380,80745,4621885205,49.7899261,25.0715658,Осовиця,Osovytsia,село,Осовица,Осовиця,village,112,
340381,63720,6323783004,49.7894961,37.5493081,Мала Шапківка,Mala Shapkivka,село,Малая Шапковка,Мала Шапківка,village,77,
340382,31031,6822784301,49.78935,26.65833,Корчівка,Korchivka,село,Корчовка,Корчівка,village,779,
