town,2014,2015,2016,obl,dis,koatuu,np,oblcode,type,oldname
смт Стара Вижівка,5256.0,5279.0,5293.0,Волинська область,Старовижівський район,0725055100,Т,07,smt,
смт Турійськ,5775.0,5812.0,5739.0,Волинська область,Турійський район,0725555100,Т,07,smt,
смт Луків,3126.0,3144.0,3142.0,Волинська область,Турійський район,0725555400,Т,07,smt,
смт Шацьк,5357.0,5336.0,5360.0,Волинська область,Шацький район,0725755100,Т,07,smt,
м. Дніпро,993094.0,989769.0,983836.0,Дніпропетровська область,Дніпро,1210100000,В,12,city,ДНІПРОПЕТРОВСЬК
смт Авіаторське,2418.0,2410.0,2422.0,Дніпропетровська область,Дніпро,1210141000,Т,12,smt,
м. Вільногірськ,23766.0,23661.0,23494.0,Дніпропетровська область,Вільногірськ,1210200000,М,12,town,
м. Кам’янське,241475.0,240682.0,239237.0,Дніпропетровська область,Кам’янське,1210400000,В,12,city,ДНІПРОДЗЕРЖИНСЬК
смт Карнаухівка,6665.0,6685.0,6707.0,Дніпропетровська область,Кам’янське,1210465300,Т,12,smt,
м. Жовті Води,47284.0,46763.0,46267.0,Дніпропетровська область,Жовті Води,1210700000,М,12,town,
м. Кривий Ріг,652137.0,647727.0,642333.0,Дніпропетровська область,Кривий Ріг,1211000000,В,12,city,
м. Марганець,48345.0,48144.0,47812.0,Дніпропетровська область,Марганець,1211300000,М,12,town,
смт Мар’ївка,372.0,373.0,374.0,Дніпропетровська область,Марганець,1211345400,Т,12,smt,
м. Нікополь,117857.0,116834.0,115447.0,Дніпропетровська область,Нікополь,1211600000,М,12,town,
м. Новомосковськ,71299.0,71488.0,71427.0,Дніпропетровська область,Новомосковськ,1211900000,М,12,town,
м. Покров,41152.0,40857.0,40531.0,Дніпропетровська область,Покров,1212100000,М,12,town,ОРДЖОНІКІДЗЕ
смт Гірницьке,360.0,359.0,359.0,Дніпропетровська область,Покров,1212145300,Т,12,smt,
смт Чортомлик,1375.0,1378.0,1379.0,Дніпропетровська область,Покров,1212145700,Т,12,smt,
м. Павлоград,109739.0,109305.0,108623.0,Дніпропетровська область,Павлоград,1212400000,М,12,town,
